,Support
WheelType_nan,0.08011869584954066
VehOdo,0.05717522911189984
VehBCost,0.0571037971091193
MMRAcquisitionAuctionAveragePrice,0.050224705255226015
MMRAcquisitionAuctionCleanPrice,0.04956913286593832
MMRCurrentAuctionCleanPrice,0.048912520174396235
MMRCurrentRetailAveragePrice,0.04887613580936906
MMRCurrentAuctionAveragePrice,0.048702863445772904
MMRCurrentRetailCleanPrice,0.04858870250887011
MMRAcquisitonRetailCleanPrice,0.04851791611221405
MMRAcquisitionRetailAveragePrice,0.04808575778235512
WarrantyCost,0.03760259562114826
VehicleAge,0.024630053501910703
WheelType_Alloy,0.01815038870601105
WheelType_Covers,0.01538807562186644
Auction_MANHEIM,0.011938643504414544
Color_SILVER,0.009843397004643194
Color_WHITE,0.008900360146077847
Auction_ADESA,0.008688832361611441
Auction_OTHER,0.008092441305055008
Color_BLUE,0.007830887964451902
Color_GREY,0.00662166848935647
Color_BLACK,0.006485411826341754
Color_RED,0.006177848255312419
Color_GOLD,0.005682771617418174
SubModel_4D SEDAN,0.004204985883883231
Color_GREEN,0.0038531533467683794
Size_MEDIUM,0.0037650285851979054
Color_MAROON,0.0031266310820072724
TopThreeAmericanName_GM,0.002575516244329136
TopThreeAmericanName_CHRYSLER,0.0025096419794386894
Transmission_MANUAL,0.00246596689866973
Color_BEIGE,0.0024314529865287903
Transmission_AUTO,0.0024268889472048383
Make_CHEVROLET,0.002389695347567732
Size_MEDIUM SUV,0.0023687414099395655
Size_COMPACT,0.002349184827769271
TopThreeAmericanName_FORD,0.002299899733575993
Make_DODGE,0.002297850581012561
SubModel_4D SEDAN SE,0.002264358437012558
Size_LARGE,0.0021219934234381357
Make_FORD,0.002119647691768337
WheelType_Special,0.002107636590372112
Make_CHRYSLER,0.002086057644419617
IsOnlineSale_1,0.0020624849529978805
Size_VAN,0.0020453963925543073
IsOnlineSale_0,0.0019879926676891475
Model_PT CRUISER,0.0019197461028804068
SubModel_4D SEDAN LS,0.0016428707917544411
Nationality_AMERICAN,0.0016296458298531052
TopThreeAmericanName_OTHER,0.001602623064209881
Nationality_OTHER ASIAN,0.0015006474302232328
AUCGUART_nan,0.001452052311317011
Make_PONTIAC,0.0014188257070904347
PRIMEUNIT_nan,0.0012798672143351814
AUCGUART_GREEN,0.0012775076479135464
Size_LARGE TRUCK,0.0012289640499436457
PRIMEUNIT_NO,0.001219503305287858
SubModel_2D COUPE,0.0011485583011702951
Size_SMALL SUV,0.0011437349455604307
Make_SATURN,0.0010461446903313474
Color_BROWN,0.0010313512498587502
Make_KIA,0.001017550369864155
SubModel_4D SEDAN LX,0.0009871623884359273
SubModel_4D WAGON,0.0009537784308633486
Make_HYUNDAI,0.0009416567706666876
Make_NISSAN,0.0009234340920606034
Model_TAURUS,0.000915060686389389
Nationality_TOP LINE ASIAN,0.0009032545302810073
Size_LARGE SUV,0.000862623214922323
Color_PURPLE,0.0008590105803904825
Model_IMPALA,0.0008255155077710066
Size_SMALL TRUCK,0.0008223543979527726
Make_JEEP,0.0008221951708349318
Model_CARAVAN GRAND FWD V6,0.0008083221945518425
Color_OTHER,0.0007901118067373437
Make_SUZUKI,0.0007650224840708279
Size_SPORTS,0.0007531064108976681
SubModel_4D SEDAN S,0.0007306855713963057
SubModel_MINIVAN 3.3L,0.0007245475236057442
SubModel_4D SEDAN LIMITED,0.0007229695039241186
Model_TAURUS 3.0L V6 EFI,0.0007172381365976184
Model_FOCUS,0.0007153366180924185
Make_MAZDA,0.0007063368443372011
Make_MERCURY,0.0006901121357291334
SubModel_4D SEDAN TOURING,0.0006840129250536681
SubModel_2D CONVERTIBLE,0.0006541731978540413
Model_SEBRING 4C,0.0006512092507203595
Make_MITSUBISHI,0.000643344453967524
SubModel_4D SUV 4.6L XLT,0.0006420584979216571
Model_PT CRUISER 2.4L I4 S,0.0006336994813147148
Size_CROSSOVER,0.0006075973460001876
Make_BUICK,0.0006062810897512999
Model_SEBRING V6,0.0005860199045611952
Model_AVEO,0.0005859003087600858
SubModel_4D SUV 4.2L LS,0.0005844927906250001
Model_STRATUS 4C,0.0005721388607106853
Model_GRAND PRIX,0.0005661028179557609
Model_EXPLORER 2WD V6 4.0L,0.000555581380896108
Model_ION,0.0005504466056747601
Color_ORANGE,0.0005502732320704911
SubModel_PASSENGER 3.8L LX,0.0005473977725096839
Model_MALIBU 4C,0.0005444823249478551
SubModel_4D SEDAN SE1,0.0005382709990330129
Model_FORENZA,0.0005332179325435065
Color_YELLOW,0.0005323345216342467
Model_1500 RAM PICKUP 2WD,0.0005318987759064169
SubModel_4D SEDAN GT,0.0005317583027857646
Size_SPECIALTY,0.0005250305383560889
Model_COBALT,0.0005244128147108853
SubModel_4D SEDAN SXT,0.0005179932005136518
Model_MALIBU V6,0.0005158011011099297
SubModel_4D SUV 4.0L FFV XLT,0.0005043257518740266
SubModel_4D SEDAN LT,0.0004926475361206647
